playlist,song,order,chunk,valence,arousal,predicted_moods
chacruna_kelan_thomas2,/Users/jsgomezc/Data/psilocybin/audio/chacruna_kelan_thomas2/16-672NERJGK51lauK4EI0UTT- Robin Guthrie - Laughter In The Dark.mp3,16,0,3.570882797241211,2.789651870727539,"['background', 'calm', 'dark', 'film', 'meditative', 'relaxing', 'sad', 'slow', 'soundscape', 'space']"
chacruna_kelan_thomas2,/Users/jsgomezc/Data/psilocybin/audio/chacruna_kelan_thomas2/16-672NERJGK51lauK4EI0UTT- Robin Guthrie - Laughter In The Dark.mp3,16,1,3.7487194538116455,2.8503823280334473,"['background', 'calm', 'cool', 'dark', 'happy', 'meditative', 'relaxing', 'sad', 'slow', 'soundscape', 'space']"
chacruna_kelan_thomas2,/Users/jsgomezc/Data/psilocybin/audio/chacruna_kelan_thomas2/16-672NERJGK51lauK4EI0UTT- Robin Guthrie - Laughter In The Dark.mp3,16,2,3.19625186920166,2.600278854370117,"['background', 'calm', 'dark', 'dream', 'film', 'happy', 'meditative', 'relaxing', 'sad', 'slow', 'soundscape', 'space']"
chacruna_kelan_thomas2,/Users/jsgomezc/Data/psilocybin/audio/chacruna_kelan_thomas2/16-672NERJGK51lauK4EI0UTT- Robin Guthrie - Laughter In The Dark.mp3,16,3,3.8867406845092773,2.991720199584961,"['background', 'calm', 'dark', 'happy', 'meditative', 'sad', 'slow', 'soundscape', 'space']"
chacruna_kelan_thomas2,/Users/jsgomezc/Data/psilocybin/audio/chacruna_kelan_thomas2/16-672NERJGK51lauK4EI0UTT- Robin Guthrie - Laughter In The Dark.mp3,16,4,3.419746160507202,3.912778377532959,"['background', 'dark', 'dream', 'heavy', 'meditative', 'sad', 'slow', 'soundscape', 'space']"
chacruna_kelan_thomas2,/Users/jsgomezc/Data/psilocybin/audio/chacruna_kelan_thomas2/16-672NERJGK51lauK4EI0UTT- Robin Guthrie - Laughter In The Dark.mp3,16,5,3.5265867710113525,3.621774196624756,"['background', 'dark', 'dream', 'meditative', 'relaxing', 'sad', 'slow', 'soundscape', 'space']"
chacruna_kelan_thomas2,/Users/jsgomezc/Data/psilocybin/audio/chacruna_kelan_thomas2/41-53QHvjAENLxqBVEYw9Xwzk- The Sonora Pine - Baby Come Home.mp3,41,0,2.9855244159698486,2.8675379753112793,"['calm', 'dark', 'documentary', 'dramatic', 'dream', 'emotional', 'film', 'meditative', 'nature', 'sad', 'soundscape', 'space']"
chacruna_kelan_thomas2,/Users/jsgomezc/Data/psilocybin/audio/chacruna_kelan_thomas2/41-53QHvjAENLxqBVEYw9Xwzk- The Sonora Pine - Baby Come Home.mp3,41,1,3.364976406097412,2.458045482635498,"['calm', 'dream', 'emotional', 'film', 'love', 'meditative', 'melancholic', 'sad', 'slow', 'soundscape']"
chacruna_kelan_thomas2,/Users/jsgomezc/Data/psilocybin/audio/chacruna_kelan_thomas2/41-53QHvjAENLxqBVEYw9Xwzk- The Sonora Pine - Baby Come Home.mp3,41,2,3.6250319480895996,2.759317398071289,"['calm', 'dream', 'film', 'love', 'melancholic', 'sad', 'slow', 'soft', 'soundscape']"
chacruna_kelan_thomas2,/Users/jsgomezc/Data/psilocybin/audio/chacruna_kelan_thomas2/41-53QHvjAENLxqBVEYw9Xwzk- The Sonora Pine - Baby Come Home.mp3,41,3,3.3333213329315186,2.491133689880371,"['calm', 'dream', 'emotional', 'film', 'hopeful', 'love', 'meditative', 'melancholic', 'nature', 'sad', 'soft', 'soundscape']"
chacruna_kelan_thomas2,/Users/jsgomezc/Data/psilocybin/audio/chacruna_kelan_thomas2/41-53QHvjAENLxqBVEYw9Xwzk- The Sonora Pine - Baby Come Home.mp3,41,4,3.6741206645965576,2.637474775314331,"['calm', 'dream', 'emotional', 'film', 'happy', 'hopeful', 'love', 'meditative', 'melancholic', 'sad', 'slow', 'soft', 'soundscape']"
chacruna_kelan_thomas2,/Users/jsgomezc/Data/psilocybin/audio/chacruna_kelan_thomas2/41-53QHvjAENLxqBVEYw9Xwzk- The Sonora Pine - Baby Come Home.mp3,41,5,4.255382061004639,2.7676212787628174,"['calm', 'dream', 'film', 'love', 'sad', 'slow', 'soft']"
chacruna_kelan_thomas2,/Users/jsgomezc/Data/psilocybin/audio/chacruna_kelan_thomas2/41-53QHvjAENLxqBVEYw9Xwzk- The Sonora Pine - Baby Come Home.mp3,41,6,4.972716331481934,2.730278253555298,"['calm', 'christmas', 'dream', 'happy', 'sad', 'slow', 'soft']"
chacruna_kelan_thomas2,/Users/jsgomezc/Data/psilocybin/audio/chacruna_kelan_thomas2/41-53QHvjAENLxqBVEYw9Xwzk- The Sonora Pine - Baby Come Home.mp3,41,7,5.19704008102417,3.079899311065674,"['calm', 'commercial', 'dream', 'film', 'hopeful', 'love', 'melancholic', 'melodic', 'romantic', 'sad', 'soft']"
chacruna_kelan_thomas2,"/Users/jsgomezc/Data/psilocybin/audio/chacruna_kelan_thomas2/20-7gOi88gP4o1uv1kaL02yBB- Ólafur Arnalds, Atli Örvarsson, SinfoniaNord - Öldurót - Island Songs IV.mp3",20,0,3.5318808555603027,2.3557965755462646,"['advertising', 'background', 'calm', 'dark', 'documentary', 'film', 'movie', 'nature', 'relaxing', 'sad', 'soft']"
chacruna_kelan_thomas2,"/Users/jsgomezc/Data/psilocybin/audio/chacruna_kelan_thomas2/20-7gOi88gP4o1uv1kaL02yBB- Ólafur Arnalds, Atli Örvarsson, SinfoniaNord - Öldurót - Island Songs IV.mp3",20,1,3.276548147201538,3.0619587898254395,"['adventure', 'calm', 'children', 'dark', 'documentary', 'drama', 'emotional', 'film', 'movie', 'nature', 'romantic', 'sad', 'soft']"
chacruna_kelan_thomas2,"/Users/jsgomezc/Data/psilocybin/audio/chacruna_kelan_thomas2/20-7gOi88gP4o1uv1kaL02yBB- Ólafur Arnalds, Atli Örvarsson, SinfoniaNord - Öldurót - Island Songs IV.mp3",20,2,3.4900710582733154,2.3394312858581543,"['adventure', 'children', 'christmas', 'documentary', 'drama', 'emotional', 'film', 'holiday', 'movie', 'nature', 'relaxing', 'romantic', 'soft']"
chacruna_kelan_thomas2,"/Users/jsgomezc/Data/psilocybin/audio/chacruna_kelan_thomas2/20-7gOi88gP4o1uv1kaL02yBB- Ólafur Arnalds, Atli Örvarsson, SinfoniaNord - Öldurót - Island Songs IV.mp3",20,3,3.1797735691070557,2.3963277339935303,"['children', 'documentary', 'drama', 'dramatic', 'dream', 'emotional', 'epic', 'film', 'inspiring', 'meditative', 'movie', 'nature', 'relaxing', 'romantic', 'soft']"
chacruna_kelan_thomas2,"/Users/jsgomezc/Data/psilocybin/audio/chacruna_kelan_thomas2/20-7gOi88gP4o1uv1kaL02yBB- Ólafur Arnalds, Atli Örvarsson, SinfoniaNord - Öldurót - Island Songs IV.mp3",20,4,3.2042109966278076,3.5606327056884766,"['corporate', 'documentary', 'drama', 'dramatic', 'dream', 'emotional', 'epic', 'film', 'inspiring', 'movie', 'nature', 'relaxing', 'romantic', 'sad', 'space', 'trailer']"
chacruna_kelan_thomas2,"/Users/jsgomezc/Data/psilocybin/audio/chacruna_kelan_thomas2/20-7gOi88gP4o1uv1kaL02yBB- Ólafur Arnalds, Atli Örvarsson, SinfoniaNord - Öldurót - Island Songs IV.mp3",20,5,4.1987128257751465,4.6149187088012695,"['adventure', 'advertising', 'corporate', 'dark', 'documentary', 'drama', 'dramatic', 'emotional', 'epic', 'film', 'inspiring', 'movie', 'nature', 'romantic', 'space', 'trailer']"
chacruna_kelan_thomas2,"/Users/jsgomezc/Data/psilocybin/audio/chacruna_kelan_thomas2/20-7gOi88gP4o1uv1kaL02yBB- Ólafur Arnalds, Atli Örvarsson, SinfoniaNord - Öldurót - Island Songs IV.mp3",20,6,3.5955209732055664,3.786536455154419,"['advertising', 'corporate', 'documentary', 'drama', 'dramatic', 'dream', 'emotional', 'epic', 'film', 'inspiring', 'movie', 'nature', 'relaxing', 'romantic', 'space', 'trailer']"
