#,playlist,Song,Artist,Time,BPM,Genres,Parent Genres,Album,Album Date,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC,Duration (s),Duration (m),Duration,phase,process?,link
1,chacruna_baldwin,Standing Waves: 1976,Stuart Dempster,21:22,72,"ambient, drone, minimalism","Electronic, Classical",In The Great Abby Of Clement VI,1987-00-00,13,2,98,88,3,0,10,-32,D Major,4,7/19/18,1Q44liueFrUtcMqR71vWBm,New Albion Records,10B,US87H8710706,1282,21.367,0:21:22,onset,TRUE,https://open.spotify.com/track/1Q44liueFrUtcMqR71vWBm
2,chacruna_baldwin,Blues Nile,Jon Hassell,9:59,73,"ambient, minimalism, avant-garde, drone","Electronic, Classical",Vernal Equinox,1978-00-00,6,7,99,88,3,0,10,-28,G Minor,3,9/11/18,1X9TmaFt15Yg9V34rvjbhX,Ndeya,6A,GB5P57800004,601,10.017,0:10:01,onset,TRUE,https://open.spotify.com/track/1X9TmaFt15Yg9V34rvjbhX
3,chacruna_baldwin,Everlasting Moments,Mark Banning,23:32,86,"new age, ambient, drone","Electronic, New age",Journey to the Light,2/18/14,12,31,92,88,3,0,10,-15,C♯/D♭ Major,4,9/28/18,5RINRvcupIKAc3kM40SyP4,Students of Decay,3B,USCPT1410021,1413,23.550,0:23:33,onset,TRUE,https://open.spotify.com/track/5RINRvcupIKAc3kM40SyP4
4,chacruna_baldwin,Galatea's Guitar,Gábor Szabó,5:40,93,,,Dreams,1/1/17,57,40,36,73,9,0,10,-13,G#/A♭ Major,4,9/11/18,5YafdAyEYVePLz5QGCeD44,Skye Records,4B,QM4TW1748173,339,5.650,0:05:39,onset,TRUE,https://open.spotify.com/track/5YafdAyEYVePLz5QGCeD44
5,chacruna_baldwin,Tamalpais High (At About 3),David Crosby,3:32,121,"folk rock, singer-songwriter","Rock, Folk/Acoustic",If I Could Only Remember My Name,2/22/71,48,26,48,1,41,0,0,-18,B Minor,4,9/11/18,5DKCrbivQkzlCifKgGi2Ox,Rhino Atlantic,10A,USAT20105338,213,3.550,0:03:33,peak,TRUE,https://open.spotify.com/track/5DKCrbivQkzlCifKgGi2Ox
6,chacruna_baldwin,Journey In Satchidananda,"Alice Coltrane,Pharoah Sanders",6:36,98,"free jazz, jazz, hard bop",Jazz,Journey in Satchidananda,1971-00-00,18,54,2,0,21,0,10,-14,B Minor,3,7/19/18,2gG3ivmsfylVXLyIJvLXyN,GRP,10A,USMC17052076,396,6.600,0:06:36,peak,TRUE,https://open.spotify.com/track/2gG3ivmsfylVXLyIJvLXyN
7,chacruna_baldwin,Something About John Coltrane,"Alice Coltrane,Pharoah Sanders",9:40,117,"free jazz, jazz, hard bop",Jazz,Journey in Satchidananda,1971-00-00,30,56,17,3,36,0,10,-13,G#/A♭ Minor,3,7/19/18,6p1D7kXSeW6saOJteQ7orb,GRP,1A,USMC17052079,581,9.683,0:09:41,peak,TRUE,https://open.spotify.com/track/6p1D7kXSeW6saOJteQ7orb
8,chacruna_baldwin,Hallogallo,NEU!,10:07,153,"krautrock, proto-punk, space rock, art rock",Rock,NEU!,1972-00-00,62,78,12,83,77,0,0,-14,A Major,4,9/11/18,5ten0WtejUB4F0lGVFStyE,Groenland Records,11B,DEA340002063,607,10.117,0:10:07,peak,TRUE,https://open.spotify.com/track/5ten0WtejUB4F0lGVFStyE
9,chacruna_baldwin,Sonderangebot,NEU!,4:51,104,"krautrock, proto-punk, space rock, art rock",Rock,NEU!,1972-00-00,15,20,89,93,4,0,20,-24,E Minor,3,9/11/18,4928fr7y9XjYCip7dT8VUH,Groenland Records,9A,DEA340002064,291,4.850,0:04:51,peak,TRUE,https://open.spotify.com/track/4928fr7y9XjYCip7dT8VUH
10,chacruna_baldwin,Weissensee,NEU!,6:46,127,"krautrock, proto-punk, space rock, art rock",Rock,NEU!,1972-00-00,59,18,42,67,5,0,10,-18,D Major,4,9/11/18,2NTvSO3YMh7XAUocDbOMm6,Groenland Records,10B,DEA340002065,407,6.783,0:06:47,peak,TRUE,https://open.spotify.com/track/2NTvSO3YMh7XAUocDbOMm6
11,chacruna_baldwin,Sunrain,Ashra,7:32,130,"krautrock, space rock, new age, ambient, space music","Electronic, Rock, New age, Classical",New Age Of Earth,1/1/77,24,32,2,96,7,0,10,-16,D Major,4,9/11/18,7xrtYFSpcy2fT6xuyVZzFV,Virgin Records,10B,GBAAA7700153,453,7.550,0:07:33,peak,TRUE,https://open.spotify.com/track/7xrtYFSpcy2fT6xuyVZzFV
12,chacruna_baldwin,Deep Distance,Ashra,5:49,87,"krautrock, space rock, new age, ambient, space music","Electronic, Rock, New age, Classical",New Age Of Earth,1/1/77,12,24,5,92,22,0,10,-19,B Major,4,9/11/18,2cRQA17KKBy0pklGxGZ699,Virgin Records,1B,GBAAA7700154,350,5.833,0:05:50,peak,TRUE,https://open.spotify.com/track/2cRQA17KKBy0pklGxGZ699
13,chacruna_baldwin,77 Slightly Delayed,Ashra,6:50,128,"krautrock, space rock, new age, ambient, space music","Electronic, Rock, New age, Classical",Blackouts,1/1/78,50,41,78,87,41,0,20,-13,F#/G♭ Major,4,9/11/18,1TmlYsvU6XoXn0Bs6p5CNC,One Up,2B,GBAAA7800231,411,6.850,0:06:51,peak,TRUE,https://open.spotify.com/track/1TmlYsvU6XoXn0Bs6p5CNC
