song,moods,arousal,valence
/Users/jsgomezc/Data/psilocybin/audio/chacruna_kelan_thomas2/16-672NERJGK51lauK4EI0UTT- Robin Guthrie - Laughter In The Dark.mp3,"['background', 'calm', 'happy', 'meditative', 'relaxing', 'sad', 'slow', 'soundscape', 'space']",3.037853240966797,3.4124228954315186
/Users/jsgomezc/Data/psilocybin/audio/chacruna_kelan_thomas2/41-53QHvjAENLxqBVEYw9Xwzk- The Sonora Pine - Baby Come Home.mp3,"['ballad', 'calm', 'dream', 'emotional', 'hopeful', 'love', 'meditative', 'melancholic', 'relaxing', 'sad', 'soft']",2.440803050994873,3.5905568599700928
/Users/jsgomezc/Data/psilocybin/audio/chacruna_kelan_thomas2/48-7enRMTKnzaeYQsBgRYmCle- Stars Of The Lid - The Daughters of Quiet Minds.mp3,"['calm', 'cool', 'deep', 'documentary', 'dream', 'emotional', 'meditative', 'nature', 'relaxing', 'soundscape', 'space', 'uplifting']",2.6426918506622314,3.4750678539276123
/Users/jsgomezc/Data/psilocybin/audio/chacruna_kelan_thomas2/47-58yFroDNbzHpYzvicaC0de- Bill Evans - Peace Piece.mp3,"['ballad', 'calm', 'christmas', 'cool', 'emotional', 'holiday', 'hopeful', 'melancholic', 'nature', 'relaxing', 'romantic', 'sad', 'slow', 'soft']",3.0905191898345947,4.721402645111084
"/Users/jsgomezc/Data/psilocybin/audio/chacruna_kelan_thomas2/20-7gOi88gP4o1uv1kaL02yBB- Ólafur Arnalds, Atli Örvarsson, SinfoniaNord - Öldurót - Island Songs IV.mp3","['adventure', 'advertising', 'dark', 'documentary', 'drama', 'dramatic', 'emotional', 'epic', 'film', 'inspiring', 'movie', 'nature', 'relaxing', 'romantic', 'sad', 'soft']",3.1338582038879395,3.4895434379577637
"/Users/jsgomezc/Data/psilocybin/audio/chacruna_kelan_thomas2/28-4BbKj6LPue8dBbqO9fcZXb- Robin Guthrie, Harold Budd - How Close Your Soul.mp3","['calm', 'cool', 'dark', 'deep', 'dream', 'emotional', 'meditative', 'nature', 'relaxing', 'sad', 'slow', 'soundscape', 'space']",2.7832441329956055,3.6229779720306396
/Users/jsgomezc/Data/psilocybin/audio/chacruna_kelan_thomas2/39-2gCwfDD1u1gME9VjPuRu4X- Sonna - Low And To The Side.mp3,"['ballad', 'calm', 'cool', 'dark', 'dramatic', 'emotional', 'hopeful', 'love', 'melancholic', 'melodic', 'motivational', 'sad']",4.662966251373291,4.803469657897949
/Users/jsgomezc/Data/psilocybin/audio/chacruna_kelan_thomas2/25-4X2eQcDDf1OlfH8vxMGoSb- A Winged Victory for the Sullen - Requiem for the Static King Part 2.mp3,"['calm', 'documentary', 'dream', 'emotional', 'epic', 'film', 'meditative', 'nature', 'relaxing', 'romantic', 'sad', 'soundscape', 'space']",2.4490296840667725,3.3380284309387207
/Users/jsgomezc/Data/psilocybin/audio/chacruna_kelan_thomas2/15-6a4aOhIYhn4CRrPTOu2ZG8- Sigur Rós - Sigur 2 (Untitled).mp3,"['ballad', 'dark', 'drama', 'dramatic', 'emotional', 'epic', 'melancholic', 'motivational', 'romantic', 'sad', 'slow', 'space']",3.8211660385131836,4.008492946624756
/Users/jsgomezc/Data/psilocybin/audio/chacruna_kelan_thomas2/40-6Bli39TjCnI9H4nqbuUkFn- Marc Ribot - The Kid.mp3,"['ballad', 'calm', 'children', 'drama', 'emotional', 'film', 'hopeful', 'inspiring', 'love', 'meditative', 'melancholic', 'movie', 'nature', 'relaxing', 'romantic', 'sad', 'soft']",3.4776673316955566,5.553703784942627
/Users/jsgomezc/Data/psilocybin/audio/chacruna_kelan_thomas2/43-7aUbR1W9xxgs0BWQDfpSe4- Mountains - Sheets Two.mp3,"['calm', 'dream', 'emotional', 'film', 'meditative', 'nature', 'relaxing', 'sad', 'soft', 'soundscape']",2.6712875366210938,4.028214454650879
/Users/jsgomezc/Data/psilocybin/audio/chacruna_kelan_thomas2/18-531JzFp9baVgXFbSOzrQ4U- Hammock - For My Sister.mp3,"['calm', 'dark', 'documentary', 'drama', 'dramatic', 'dream', 'emotional', 'epic', 'film', 'inspiring', 'meditative', 'movie', 'nature', 'sad', 'soft', 'soundscape']",2.9153895378112793,2.959280252456665
